"radius" "probability"
"1" 5 0.0875367058840162
"2" 10 0.175073411768032
"3" 15 0.262610117652049
"4" 20 0.350146823536065
"5" 25 0.428444268504402
"6" 30 0.486415339458246
"7" 35 0.54438641041209
"8" 40 0.602357481365934
"9" 45 0.660328552319777
"10" 50 0.699821101442263
"11" 55 0.728226537465935
"12" 60 0.756631973489606
"13" 65 0.785037409513277
"14" 70 0.813442845536948
"15" 75 0.833673824441685
"16" 80 0.853359839538492
"17" 85 0.8730458546353
"18" 90 0.892731869732108
"19" 95 0.9102380295972
"20" 100 0.921204623767143
"21" 105 0.932171217937087
"22" 110 0.943137812107031
"23" 115 0.954104406276975
"24" 120 0.96234198188603
"25" 125 0.968456987503282
"26" 130 0.974571993120535
"27" 135 0.980686998737787
"28" 140 0.98680200435504
"29" 145 0.988671869988687
"30" 150 0.989935287053248
"31" 155 0.991198704117809
"32" 160 0.99246212118237
"33" 165 0.9936358402433
"34" 170 0.994420867955166
"35" 175 0.995205895667031
"36" 180 0.995990923378897
"37" 185 0.996775951090763
"38" 190 0.997321784126281
"39" 195 0.997628422485452
"40" 200 0.997935060844622
"41" 205 0.998241699203793
"42" 210 0.998548337562963
"43" 215 0.998754093158681
"44" 220 0.99893656811668
"45" 225 0.999119043074678
"46" 230 0.999301518032676
"47" 235 0.999468472565528
"48" 240 0.999526784122354
"49" 245 0.99958509567918
"50" 250 0.999643407236006
"51" 255 0.999701718792831
"52" 260 0.999750280338988
"53" 265 0.999786306157142
"54" 270 0.999822331975296
"55" 275 0.99985835779345
"56" 280 0.999894383611604
"57" 285 0.999913695125754
"58" 290 0.999927435205236
"59" 295 0.999941175284718
"60" 300 0.9999549153642
"61" 305 0.999968226066198
"62" 310 0.99997509610594
"63" 315 0.99998196614568
"64" 320 0.999988836185421
"65" 325 0.999995706225162
"66" 330 1
